open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
5.1,5.185,5.011,5.15,100498690,508020.SH,2026-04-22,,,CNY
5.126,5.151,5.098,5.135,14921597,508020.SH,2026-04-23,,,CNY
5.131,5.131,5.084,5.126,4135332,508020.SH,2026-04-24,,,CNY
5.125,5.125,5.092,5.11,1979358,508020.SH,2026-04-27,,,CNY
5.11,5.128,5.1,5.127,3480924,508020.SH,2026-04-28,,,CNY
5.127,5.133,5.112,5.13,2759998,508020.SH,2026-04-29,,,CNY
5.132,5.134,5.111,5.128,300531,508020.SH,2026-04-30,,,CNY
5.119,5.123,5.108,5.112,925006,508020.SH,2026-05-06,,,CNY
5.112,5.12,5.092,5.116,1188343,508020.SH,2026-05-07,,,CNY
5.117,5.12,5.083,5.114,3099926,508020.SH,2026-05-08,,,CNY
5.109,5.109,5.09,5.104,1159702,508020.SH,2026-05-11,,,CNY
5.108,5.119,5.08,5.083,1174629,508020.SH,2026-05-12,,,CNY
5.06,5.102,5.034,5.072,3267336,508020.SH,2026-05-13,,,CNY
5.072,5.072,5.015,5.046,3376760,508020.SH,2026-05-14,,,CNY
5.04,5.04,5.0,5.018,2513709,508020.SH,2026-05-15,,,CNY
4.988,5.022,4.983,5.018,651227,508020.SH,2026-05-18,,,CNY
5.05,5.15,5.002,5.067,3966416,508020.SH,2026-05-19,,,CNY
5.045,5.114,5.019,5.112,4730383,508020.SH,2026-05-20,,,CNY
5.089,5.105,5.081,5.086,1316270,508020.SH,2026-05-21,,,CNY
5.086,5.087,5.055,5.085,1091753,508020.SH,2026-05-22,,,CNY
5.054,5.074,5.053,5.062,1211924,508020.SH,2026-05-25,,,CNY
5.05,5.08,5.05,5.056,2002612,508020.SH,2026-05-26,,,CNY
5.071,5.135,5.071,5.119,4293832,508020.SH,2026-05-27,,,CNY
5.125,5.125,5.06,5.11,1194220,508020.SH,2026-05-28,,,CNY
5.077,5.119,5.077,5.111,975275,508020.SH,2026-05-29,,,CNY
5.111,5.133,5.09,5.12,3886305,508020.SH,2026-06-01,,,CNY
5.13,5.167,5.097,5.155,1856063,508020.SH,2026-06-02,,,CNY
5.144,5.169,5.144,5.157,992914,508020.SH,2026-06-03,,,CNY
5.156,5.162,5.144,5.161,781978,508020.SH,2026-06-04,,,CNY
5.161,5.161,5.125,5.14,1104500,508020.SH,2026-06-05,,,CNY
5.11,5.164,4.94,5.142,1484920,508020.SH,2026-06-08,,,CNY
5.118,5.164,5.118,5.143,1835409,508020.SH,2026-06-09,,,CNY
5.094,5.165,5.094,5.108,689466,508020.SH,2026-06-10,,,CNY
5.09,5.164,5.062,5.102,1343861,508020.SH,2026-06-11,,,CNY
5.091,5.159,5.0,5.116,795897,508020.SH,2026-06-12,,,CNY
5.115,5.115,5.084,5.091,784172,508020.SH,2026-06-15,,,CNY
5.08,5.104,5.08,5.101,428947,508020.SH,2026-06-16,,,CNY
5.08,5.101,5.073,5.081,772825,508020.SH,2026-06-17,,,CNY
5.058,5.09,5.05,5.066,1665273,508020.SH,2026-06-18,,,CNY
5.02,5.04,5.01,5.024,2330186,508020.SH,2026-06-22,,,CNY
5.028,5.054,5.0,5.013,1294893,508020.SH,2026-06-23,,,CNY
5.001,5.01,4.975,4.984,858792,508020.SH,2026-06-24,,,CNY
4.984,5.076,4.94,5.066,247580,508020.SH,2026-06-25,,,CNY
5.025,5.066,5.025,5.06,903955,508020.SH,2026-06-26,,,CNY
5.014,5.092,4.983,5.085,893911,508020.SH,2026-06-29,,,CNY
5.039,5.088,5.039,5.07,631605,508020.SH,2026-06-30,,,CNY
5.039,5.091,5.039,5.083,350273,508020.SH,2026-07-01,,,CNY
5.037,5.09,5.037,5.072,1041351,508020.SH,2026-07-02,,,CNY
5.051,5.115,5.05,5.07,936709,508020.SH,2026-07-03,,,CNY
5.05,5.085,5.05,5.07,1446387,508020.SH,2026-07-06,,,CNY
5.07,5.071,5.058,5.066,455478,508020.SH,2026-07-07,,,CNY
5.071,5.071,5.021,5.06,650111,508020.SH,2026-07-08,,,CNY
5.06,5.08,5.038,5.063,780289,508020.SH,2026-07-09,,,CNY
5.063,5.076,5.057,5.076,488700,508020.SH,2026-07-10,,,CNY
5.032,5.099,5.032,5.068,599690,508020.SH,2026-07-13,,,CNY
5.045,5.108,5.041,5.094,938065,508020.SH,2026-07-14,,,CNY
5.072,5.102,5.053,5.067,842905,508020.SH,2026-07-15,,,CNY
5.046,5.111,5.046,5.109,1280295,508020.SH,2026-07-16,,,CNY
5.11,5.11,5.063,5.087,576380,508020.SH,2026-07-17,,,CNY
5.099,5.1,5.068,5.087,188851,508020.SH,2026-07-20,,,CNY
5.065,5.1,5.06,5.1,756436,508020.SH,2026-07-21,,,CNY
5.1,5.101,5.054,5.1,639850,508020.SH,2026-07-22,,,CNY
5.1,5.112,5.055,5.102,277506,508020.SH,2026-07-23,,,CNY
5.08,5.112,5.08,5.081,441704,508020.SH,2026-07-24,,,CNY
5.056,5.104,5.056,5.103,775138,508020.SH,2026-07-27,,,CNY
5.101,5.105,5.089,5.105,910559,508020.SH,2026-07-28,,,CNY
