open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
9.889,10.26,9.889,9.99,52238439,508028.SH,2023-03-29,,,CNY
10.005,10.02,9.969,9.99,8140627,508028.SH,2023-03-30,,,CNY
9.995,10.004,9.981,10.0,4988076,508028.SH,2023-03-31,,,CNY
10.003,10.016,9.982,9.999,4445037,508028.SH,2023-04-03,,,CNY
9.999,9.999,9.951,9.968,3502047,508028.SH,2023-04-04,,,CNY
9.968,9.968,9.896,9.919,5885769,508028.SH,2023-04-06,,,CNY
9.91,9.926,9.893,9.907,7330742,508028.SH,2023-04-07,,,CNY
9.905,9.907,9.888,9.897,6365469,508028.SH,2023-04-10,,,CNY
9.897,9.898,9.863,9.884,5906780,508028.SH,2023-04-11,,,CNY
9.883,9.883,9.852,9.858,3670478,508028.SH,2023-04-12,,,CNY
9.856,9.856,9.826,9.837,7842246,508028.SH,2023-04-13,,,CNY
9.836,9.848,9.821,9.827,7295402,508028.SH,2023-04-14,,,CNY
9.829,9.905,9.829,9.9,5462640,508028.SH,2023-04-17,,,CNY
9.902,9.954,9.896,9.933,3450148,508028.SH,2023-04-18,,,CNY
9.931,9.939,9.891,9.918,5228085,508028.SH,2023-04-19,,,CNY
9.918,9.93,9.898,9.907,2446799,508028.SH,2023-04-20,,,CNY
9.908,9.911,9.86,9.87,2415116,508028.SH,2023-04-21,,,CNY
9.87,9.898,9.813,9.829,3276717,508028.SH,2023-04-24,,,CNY
9.829,9.839,9.813,9.826,2595826,508028.SH,2023-04-25,,,CNY
9.82,9.838,9.815,9.821,1997264,508028.SH,2023-04-26,,,CNY
9.813,9.826,9.793,9.807,4047330,508028.SH,2023-04-27,,,CNY
9.806,9.887,9.801,9.879,3027288,508028.SH,2023-04-28,,,CNY
9.878,9.888,9.85,9.867,2909461,508028.SH,2023-05-04,,,CNY
9.875,9.875,9.826,9.838,2607570,508028.SH,2023-05-05,,,CNY
9.838,9.856,9.835,9.837,2245595,508028.SH,2023-05-08,,,CNY
9.836,9.857,9.83,9.853,2438112,508028.SH,2023-05-09,,,CNY
9.854,9.928,9.838,9.921,4062020,508028.SH,2023-05-10,,,CNY
9.957,9.957,9.892,9.899,1865814,508028.SH,2023-05-11,,,CNY
9.899,9.899,9.852,9.871,1404243,508028.SH,2023-05-12,,,CNY
9.872,9.881,9.841,9.875,825890,508028.SH,2023-05-15,,,CNY
9.875,9.955,9.844,9.951,4147985,508028.SH,2023-05-16,,,CNY
9.892,9.955,9.892,9.915,2604590,508028.SH,2023-05-17,,,CNY
9.912,9.919,9.889,9.919,2956451,508028.SH,2023-05-18,,,CNY
9.917,9.917,9.888,9.9,2637749,508028.SH,2023-05-19,,,CNY
9.9,9.919,9.882,9.909,2494242,508028.SH,2023-05-22,,,CNY
9.916,9.916,9.891,9.903,2294157,508028.SH,2023-05-23,,,CNY
9.903,9.949,9.867,9.92,4360821,508028.SH,2023-05-24,,,CNY
9.921,9.951,9.893,9.937,4542104,508028.SH,2023-05-25,,,CNY
9.956,9.958,9.9,9.908,4270544,508028.SH,2023-05-26,,,CNY
9.901,9.928,9.9,9.916,3510615,508028.SH,2023-05-29,,,CNY
9.916,9.916,9.875,9.905,3634878,508028.SH,2023-05-30,,,CNY
9.908,9.911,9.875,9.908,2363512,508028.SH,2023-05-31,,,CNY
9.905,9.905,9.869,9.89,3076972,508028.SH,2023-06-01,,,CNY
9.89,9.893,9.866,9.875,2552336,508028.SH,2023-06-02,,,CNY
9.87,9.874,9.804,9.814,2251397,508028.SH,2023-06-05,,,CNY
9.814,9.816,9.0,9.777,13798616,508028.SH,2023-06-06,,,CNY
9.7,9.806,9.511,9.8,5877076,508028.SH,2023-06-07,,,CNY
9.81,9.853,9.763,9.838,4332995,508028.SH,2023-06-08,,,CNY
9.839,9.845,9.8,9.803,3286470,508028.SH,2023-06-09,,,CNY
9.763,9.795,9.725,9.773,3264822,508028.SH,2023-06-12,,,CNY
9.746,9.792,9.72,9.746,3643764,508028.SH,2023-06-13,,,CNY
9.731,9.799,9.731,9.76,3221441,508028.SH,2023-06-14,,,CNY
9.76,9.786,9.741,9.759,5062672,508028.SH,2023-06-15,,,CNY
9.76,9.76,9.745,9.753,2456234,508028.SH,2023-06-16,,,CNY
9.758,9.767,9.699,9.72,2865988,508028.SH,2023-06-19,,,CNY
9.73,9.738,9.69,9.721,5425426,508028.SH,2023-06-20,,,CNY
9.721,9.725,9.692,9.723,2747203,508028.SH,2023-06-21,,,CNY
9.723,9.724,9.654,9.675,5451546,508028.SH,2023-06-26,,,CNY
9.675,9.675,9.598,9.635,3930217,508028.SH,2023-06-27,,,CNY
9.635,9.635,9.411,9.5,6246422,508028.SH,2023-06-28,,,CNY
9.5,9.5,9.436,9.447,3679737,508028.SH,2023-06-29,,,CNY
9.435,9.99,9.435,9.849,5864560,508028.SH,2023-06-30,,,CNY
9.805,9.805,9.548,9.558,2379069,508028.SH,2023-07-03,,,CNY
9.546,9.549,9.457,9.493,1776820,508028.SH,2023-07-04,,,CNY
9.5,9.57,9.428,9.45,2995847,508028.SH,2023-07-05,,,CNY
9.449,9.522,9.43,9.511,2957043,508028.SH,2023-07-06,,,CNY
9.547,9.75,9.501,9.607,3580200,508028.SH,2023-07-07,,,CNY
9.607,9.644,9.57,9.63,3688347,508028.SH,2023-07-10,,,CNY
9.63,9.669,9.59,9.598,2377860,508028.SH,2023-07-11,,,CNY
9.596,9.629,9.528,9.548,1889581,508028.SH,2023-07-12,,,CNY
9.548,9.613,9.548,9.607,2786636,508028.SH,2023-07-13,,,CNY
9.607,9.727,9.598,9.686,3391985,508028.SH,2023-07-14,,,CNY
9.686,9.77,9.68,9.752,3192415,508028.SH,2023-07-17,,,CNY
9.752,9.898,9.727,9.88,5277955,508028.SH,2023-07-18,,,CNY
9.874,9.9,9.769,9.793,2806182,508028.SH,2023-07-19,,,CNY
9.793,9.85,9.698,9.72,1318533,508028.SH,2023-07-20,,,CNY
9.72,9.78,9.72,9.78,1778382,508028.SH,2023-07-21,,,CNY
9.78,9.847,9.761,9.808,3291318,508028.SH,2023-07-24,,,CNY
9.8,9.862,9.8,9.841,2698264,508028.SH,2023-07-25,,,CNY
9.838,9.877,9.804,9.835,1868445,508028.SH,2023-07-26,,,CNY
9.835,9.853,9.7,9.836,2501081,508028.SH,2023-07-27,,,CNY
9.835,9.878,9.8,9.868,4665903,508028.SH,2023-07-28,,,CNY
9.83,9.949,9.83,9.898,4425183,508028.SH,2023-07-31,,,CNY
