open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
4.926,4.926,4.801,4.83,44078585,508016.SH,2025-08-01,,,CNY
4.798,4.831,4.761,4.771,15465160,508016.SH,2025-08-04,,,CNY
4.761,4.793,4.739,4.769,10116725,508016.SH,2025-08-05,,,CNY
4.766,4.806,4.764,4.804,3444612,508016.SH,2025-08-06,,,CNY
4.804,4.825,4.791,4.814,5053342,508016.SH,2025-08-07,,,CNY
4.813,4.822,4.761,4.813,10632469,508016.SH,2025-08-08,,,CNY
4.806,4.812,4.77,4.795,4456097,508016.SH,2025-08-11,,,CNY
4.793,4.81,4.769,4.788,3366028,508016.SH,2025-08-12,,,CNY
4.784,4.79,4.773,4.777,2002888,508016.SH,2025-08-13,,,CNY
4.777,4.786,4.752,4.768,2123737,508016.SH,2025-08-14,,,CNY
4.766,4.774,4.728,4.73,3186311,508016.SH,2025-08-15,,,CNY
4.733,4.733,4.605,4.606,6790242,508016.SH,2025-08-18,,,CNY
4.61,4.617,4.558,4.605,2917097,508016.SH,2025-08-19,,,CNY
4.589,4.666,4.589,4.61,2269324,508016.SH,2025-08-20,,,CNY
4.61,4.635,4.609,4.618,1807632,508016.SH,2025-08-21,,,CNY
4.617,4.625,4.61,4.62,1544588,508016.SH,2025-08-22,,,CNY
4.62,4.655,4.61,4.631,1927376,508016.SH,2025-08-25,,,CNY
4.632,4.648,4.621,4.63,2096797,508016.SH,2025-08-26,,,CNY
4.628,4.63,4.591,4.621,4796377,508016.SH,2025-08-27,,,CNY
4.616,4.62,4.583,4.613,3140128,508016.SH,2025-08-28,,,CNY
4.614,4.624,4.595,4.6,2805617,508016.SH,2025-08-29,,,CNY
4.6,4.605,4.596,4.604,1642026,508016.SH,2025-09-01,,,CNY
4.604,4.62,4.599,4.606,2163258,508016.SH,2025-09-02,,,CNY
4.606,4.622,4.602,4.619,1562366,508016.SH,2025-09-03,,,CNY
4.619,4.652,4.613,4.644,1946007,508016.SH,2025-09-04,,,CNY
4.646,4.659,4.624,4.64,1797042,508016.SH,2025-09-05,,,CNY
4.636,4.664,4.621,4.66,5583621,508016.SH,2025-09-08,,,CNY
4.66,4.692,4.646,4.681,2642736,508016.SH,2025-09-09,,,CNY
4.684,4.684,4.653,4.66,1391111,508016.SH,2025-09-10,,,CNY
4.66,4.66,4.611,4.631,1931457,508016.SH,2025-09-11,,,CNY
4.633,4.633,4.621,4.629,1382205,508016.SH,2025-09-12,,,CNY
4.62,4.628,4.606,4.618,1511926,508016.SH,2025-09-15,,,CNY
4.617,4.643,4.604,4.61,973152,508016.SH,2025-09-16,,,CNY
