open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
6.993,7.0,6.855,6.98,2893119,180203.SZ,2024-11-21,,,CNY
6.939,6.979,6.908,6.943,134232,180203.SZ,2024-11-22,,,CNY
6.908,6.936,6.888,6.895,134467,180203.SZ,2024-11-25,,,CNY
6.89,6.899,6.888,6.889,139484,180203.SZ,2024-11-26,,,CNY
6.888,6.923,6.865,6.888,186126,180203.SZ,2024-11-27,,,CNY
6.879,6.879,6.85,6.856,129642,180203.SZ,2024-11-28,,,CNY
6.855,6.855,6.82,6.822,100178,180203.SZ,2024-11-29,,,CNY
6.857,6.857,6.799,6.805,229979,180203.SZ,2024-12-02,,,CNY
6.766,6.818,6.766,6.775,233302,180203.SZ,2024-12-03,,,CNY
6.769,6.79,6.698,6.707,891542,180203.SZ,2024-12-04,,,CNY
6.706,6.706,6.487,6.599,1245600,180203.SZ,2024-12-05,,,CNY
6.565,6.607,6.501,6.59,576648,180203.SZ,2024-12-06,,,CNY
6.59,6.648,6.51,6.56,361383,180203.SZ,2024-12-09,,,CNY
6.559,6.559,6.523,6.523,1848600,180203.SZ,2024-12-10,,,CNY
6.548,6.561,6.53,6.55,1320600,180203.SZ,2024-12-11,,,CNY
6.591,6.679,6.55,6.587,933942,180203.SZ,2024-12-12,,,CNY
6.58,6.608,6.578,6.587,659111,180203.SZ,2024-12-13,,,CNY
6.586,6.587,6.526,6.527,765100,180203.SZ,2024-12-16,,,CNY
6.526,6.584,6.508,6.549,559074,180203.SZ,2024-12-17,,,CNY
6.588,6.588,6.541,6.548,538000,180203.SZ,2024-12-18,,,CNY
6.589,6.589,6.53,6.54,305579,180203.SZ,2024-12-19,,,CNY
6.535,6.566,6.525,6.539,692968,180203.SZ,2024-12-20,,,CNY
6.51,6.55,6.51,6.547,135442,180203.SZ,2024-12-23,,,CNY
6.588,6.588,6.527,6.582,705943,180203.SZ,2024-12-24,,,CNY
6.589,6.636,6.588,6.609,543233,180203.SZ,2024-12-25,,,CNY
6.649,6.669,6.649,6.66,880542,180203.SZ,2024-12-26,,,CNY
6.722,6.722,6.661,6.673,437562,180203.SZ,2024-12-27,,,CNY
6.679,6.685,6.666,6.675,654760,180203.SZ,2024-12-30,,,CNY
6.268,6.351,6.247,6.325,530883,180203.SZ,2024-12-31,,,CNY
6.365,6.421,6.337,6.39,930300,180203.SZ,2025-01-02,,,CNY
6.35,6.405,6.317,6.32,748923,180203.SZ,2025-01-03,,,CNY
6.32,6.323,6.253,6.26,1211042,180203.SZ,2025-01-06,,,CNY
6.26,6.26,6.143,6.205,634900,180203.SZ,2025-01-07,,,CNY
6.195,6.295,6.195,6.289,2145244,180203.SZ,2025-01-08,,,CNY
6.294,6.356,6.271,6.336,447228,180203.SZ,2025-01-09,,,CNY
6.336,6.365,6.299,6.342,625976,180203.SZ,2025-01-10,,,CNY
6.342,6.4,6.319,6.373,584679,180203.SZ,2025-01-13,,,CNY
6.373,6.402,6.373,6.375,370942,180203.SZ,2025-01-14,,,CNY
6.42,6.42,6.003,6.41,629700,180203.SZ,2025-01-15,,,CNY
6.41,6.427,6.409,6.411,733900,180203.SZ,2025-01-16,,,CNY
6.41,6.437,6.377,6.427,1463303,180203.SZ,2025-01-17,,,CNY
6.427,6.556,6.427,6.471,604206,180203.SZ,2025-01-20,,,CNY
6.48,6.537,6.46,6.512,1185737,180203.SZ,2025-01-21,,,CNY
6.544,6.581,6.53,6.55,873875,180203.SZ,2025-01-22,,,CNY
6.6,6.6,6.51,6.521,980000,180203.SZ,2025-01-23,,,CNY
6.52,6.583,6.52,6.569,485496,180203.SZ,2025-01-24,,,CNY
6.622,6.622,6.558,6.585,595100,180203.SZ,2025-01-27,,,CNY
6.619,6.619,6.54,6.55,507300,180203.SZ,2025-02-05,,,CNY
6.514,6.562,6.514,6.542,1250499,180203.SZ,2025-02-06,,,CNY
6.54,6.54,6.476,6.535,577475,180203.SZ,2025-02-07,,,CNY
