open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
8.0030167118127,8.0385654193025,7.9966361745709,8.018512302257,1708238,508008.SH,2025-07-01,NA,NA,CNY
8.025804344819,8.0804946640341,8.025804344819,8.0577070310278,501082,508008.SH,2025-07-02,NA,NA,CNY
8.0577070310278,8.0759371374329,8.0394769246228,8.0577070310278,1345756,508008.SH,2025-07-03,NA,NA,CNY
8.0522379991063,8.0759371374329,8.0412999352633,8.0467689671848,730794,508008.SH,2025-07-04,NA,NA,CNY
8.0440344512241,8.0622645576291,8.0394769246228,8.0440344512241,608820,508008.SH,2025-07-07,NA,NA,CNY
8.0440344512241,8.0613530523088,8.0121317650152,8.0121317650152,808009,508008.SH,2025-07-08,NA,NA,CNY
8.0121317650152,8.0358309033418,7.9692910149634,7.9702025202836,687814,508008.SH,2025-07-09,NA,NA,CNY
7.9683795096431,8.007574238414,7.9647334883621,8.0021052064925,2215409,508008.SH,2025-07-10,NA,NA,CNY
8.0011937011722,8.003928217133,7.9674680043229,7.9711140256039,2339037,508008.SH,2025-07-11,NA,NA,CNY
7.9638219830419,7.9884326266887,7.9291847808723,7.9392113393951,2013654,508008.SH,2025-07-14,NA,NA,CNY
7.9392113393951,7.9556184351596,7.9291847808723,7.9428573606761,1675421,508008.SH,2025-07-15,NA,NA,CNY
7.9483263925976,8.011220259695,7.9446803713166,8.0030167118127,2035763,508008.SH,2025-07-16,NA,NA,CNY
7.9756715522052,8.0048397224532,7.9756715522052,7.9765830575254,261085,508008.SH,2025-07-17,NA,NA,CNY
7.9765830575254,8.007574238414,7.9665564990026,7.9756715522052,258953,508008.SH,2025-07-18,NA,NA,CNY
7.9756715522052,7.9939016586102,7.9619989724014,7.9738485415646,1434532,508008.SH,2025-07-21,NA,NA,CNY
7.9738485415646,7.9975476798912,7.9665564990026,7.9966361745709,1269814,508008.SH,2025-07-22,NA,NA,CNY
7.9966361745709,8.007574238414,7.928273275552,7.9392113393951,737422,508008.SH,2025-07-23,NA,NA,CNY
7.9392113393951,7.9392113393951,7.8544413446116,7.8690254297357,2486912,508008.SH,2025-07-24,NA,NA,CNY
7.8517068286509,7.8690254297357,7.8489723126901,7.8562643552521,2209231,508008.SH,2025-07-25,NA,NA,CNY
